Company,Type,OpSys,CPU,GPU,Ram,Weight,Touchscreen,ClockSpeed,HDD,SSD,PPI,Display,Price
Acer,Ultrabook,Windows,Inteli5,IntelHD,8,1.12,0,1.2,0.0,0.256,225.56390977443607,IPSFullHD,52693.92
Dell,Notebook,Windows,Inteli7,AMDRadeon,8,2.8,0,1.8,1.024,0.128,173.41040462427745,NonIPSFullHD,57808.8
Lenovo,2 in 1 Convertible,Windows,Inteli7,IntelHD,16,1.42,1,2.7,0.0,1.0,285.7142857142857,NonIPS,150462.72
others,Notebook,Windows,IntelCeleron,IntelHD,4,1.3,0,1.1,0.0,0.0,214.28571428571428,IPSFullHD,13852.8
others,Ultrabook,Others,Inteli5,NvidiaGeForce,8,1.3,0,2.5,0.0,0.256,225.56390977443607,IPSFullHD,53274.67199999999
Lenovo,Notebook,Others,Inteli5,NvidiaGeForce,8,2.8,0,1.6,0.0,0.256,144.50867052023122,NonIPS,37189.44
Dell,2 in 1 Convertible,Windows,Inteli7,IntelHD,8,1.62,1,1.8,1.024,0.0,225.56390977443607,IPSFullHD,44701.92
HP,Notebook,Windows,Inteli5,NvidiaGeForce,8,2.5,0,1.6,1.024,0.0,173.41040462427745,IPSFullHD,48697.92
others,Gaming,Windows,Inteli7,NvidiaGeForce,32,3.49,1,2.9,0.0,1.0,346.8208092485549,NonIPS4KUltraHD,324954.72
HP,Notebook,Windows,Inteli5,IntelHD,8,1.49,0,1.6,0.0,0.512,225.56390977443607,NonIPSFullHD,51095.52
HP,Gaming,Windows,Inteli7,NvidiaGeForce,16,3.35,0,2.8,1.024,0.256,173.41040462427745,IPSFullHD,73473.12
HP,Notebook,Windows,Inteli7,NvidiaGeForce,8,2.5,0,1.8,0.0,0.256,173.41040462427745,NonIPSFullHD,55677.6
